ID SALE APPOINTMENT;SALE APPOINTMENT DATE;CITY;ZIP CODE;DEPARTMENT;REGION;LATITUDE;LONGITUDE
2905;2018-05-15 10:00:00;TREMBLAY EN FRANCE;93290;Seine-Saint-Denis;ILE DE FRANCE;48.9562;2.57639
34;2018-01-03 14:00:00;PARIS;75008;Paris;ILE DE FRANCE;48.8736011;2.307613
7314;2018-11-27 17:00:00;PARIS;75003;Paris;ILE DE FRANCE;48.8626482;2.3602773999999997
856;2018-02-06 18:00:00;PARIS;75017;Paris;ILE DE FRANCE;48.8848133;2.3028392999999996
5351;2018-08-29 10:00:00;BRY SUR MARNE;94360;Val-de-Marne;ILE DE FRANCE;48.833333;2.516667
4053;2018-07-02 14:00:00;GAGNY;93220;Seine-Saint-Denis;ILE DE FRANCE;48.883333;2.533333
4395;2018-07-11 18:30:00;NOISY LE GRAND;93160;Seine-Saint-Denis;ILE DE FRANCE;48.85;2.566667
2381;2018-04-17 17:30:00;VITRY SUR SEINE;94400;Val-de-Marne;ILE DE FRANCE;48.783333;2.4
6353;2018-10-19 17:00:00;PARIS;75012;Paris;ILE DE FRANCE;48.8397336;2.380054
5490;2018-09-06 14:00:00;ANTONY;92160;Hauts-de-Seine;ILE DE FRANCE;48.75;2.3
5759;2018-09-19 17:00:00;SEVRAN;93270;Seine-Saint-Denis;ILE DE FRANCE;48.933333;2.533333
5623;2018-09-12 17:00:00;VILLEPINTE;93420;Seine-Saint-Denis;ILE DE FRANCE;48.966667;2.533333
5871;2018-09-26 14:00:00;ST CLOUD;92210;Hauts-de-Seine;ILE DE FRANCE;48.841667;2.216667
7355;2018-11-29 09:00:00;MEUDON;92190;Hauts-de-Seine;ILE DE FRANCE;48.808333;2.241667
1719;2018-03-17 14:00:00;ST OUEN;93400;Seine-Saint-Denis;ILE DE FRANCE;48.9;2.333333
2329;2018-04-14 11:00:00;AUBERVILLIERS;93300;Seine-Saint-Denis;ILE DE FRANCE;48.916667;2.383333
1721;2018-03-17 14:00:00;ANTONY;92160;Hauts-de-Seine;ILE DE FRANCE;48.75;2.3
1574;2018-03-12 16:30:00;SCEAUX;92330;Hauts-de-Seine;ILE DE FRANCE;48.783333;2.283333
6757;2018-11-07 09:00:00;CHOISY LE ROI;94600;Val-de-Marne;ILE DE FRANCE;48.766667;2.416667
453;2018-01-20 11:00:00;VILLEPINTE;93420;Seine-Saint-Denis;ILE DE FRANCE;48.966667;2.533333
5913;2018-09-28 11:00:00;LA GARENNE COLOMBES;92250;Hauts-de-Seine;ILE DE FRANCE;48.9;2.25
7286;2018-11-27 09:10:00;PARIS;75016;Paris;ILE DE FRANCE;48.856499400000004;2.2748522
1066;2018-02-15 15:30:00;PARIS;75016;Paris;ILE DE FRANCE;48.856499400000004;2.2748522
232;2018-01-11 14:00:00;CHOISY LE ROI;94600;Val-de-Marne;ILE DE FRANCE;48.766667;2.416667
5750;2018-09-19 10:30:00;BOULOGNE BILLANCOURT;92100;Hauts-de-Seine;ILE DE FRANCE;48.833333;2.25
3399;2018-06-06 14:00:00;VILLIERS SUR MARNE;94350;Val-de-Marne;ILE DE FRANCE;48.833333;2.55
670;2018-01-29 14:00:00;SEVRAN;93270;Seine-Saint-Denis;ILE DE FRANCE;48.933333;2.533333
3128;2018-05-24 14:30:00;PARIS;75018;Paris;ILE DE FRANCE;48.88307329999999;2.3395439
6645;2018-11-02 18:00:00;SEVRES;92310;Hauts-de-Seine;ILE DE FRANCE;48.816667;2.2
5793;2018-09-21 15:00:00;EPINAY SUR SEINE;93800;Seine-Saint-Denis;ILE DE FRANCE;48.95;2.308333
7427;2018-12-01 15:00:00;MEUDON;92190;Hauts-de-Seine;ILE DE FRANCE;48.808333;2.241667
7557;2018-12-06 20:00:00;PANTIN;93500;Seine-Saint-Denis;ILE DE FRANCE;48.9;2.4
7948;2018-12-21 14:00:00;PARIS;75015;Paris;ILE DE FRANCE;48.8349275;2.2889766
3967;2018-06-28 16:00:00;ANTONY;92160;Hauts-de-Seine;ILE DE FRANCE;48.75;2.3
2744;2018-05-05 09:00:00;DRANCY;93700;Seine-Saint-Denis;ILE DE FRANCE;48.933333;2.45
51;2018-01-04 10:30:00;AULNAY SOUS BOIS;93600;Seine-Saint-Denis;ILE DE FRANCE;48.95;2.516667
7165;2018-11-21 15:00:00;LIVRY GARGAN;93190;Seine-Saint-Denis;ILE DE FRANCE;48.916667;2.55
217;2018-01-10 20:00:00;MAISONS ALFORT;94700;Val-de-Marne;ILE DE FRANCE;48.8;2.433333
7685;2018-12-11 15:30:00;ST MAUR DES FOSSES;94100;Val-de-Marne;ILE DE FRANCE;48.8;2.5
6417;2018-10-23 15:00:00;BONNEUIL SUR MARNE;94380;Val-de-Marne;ILE DE FRANCE;48.766667;2.483333
2758;2018-05-05 11:00:00;NEUILLY SUR SEINE;92200;Hauts-de-Seine;ILE DE FRANCE;48.883333;2.266667
3787;2018-06-22 11:00:00;ST DENIS;93200;Seine-Saint-Denis;ILE DE FRANCE;48.933333;2.358333
6097;2018-10-06 10:00:00;COURBEVOIE;92400;Hauts-de-Seine;ILE DE FRANCE;48.8973;2.25222
3821;2018-06-23 11:00:00;PARIS;75019;Paris;ILE DE FRANCE;48.8827146;2.3937752999999997
2752;2018-05-05 10:00:00;MONTFERMEIL;93370;Seine-Saint-Denis;ILE DE FRANCE;48.9;2.566667
1825;2018-03-22 09:00:00;PARIS;75004;Paris;ILE DE FRANCE;48.8560793;2.3455373
6705;2018-11-05 15:00:00;MONTREUIL;93100;Seine-Saint-Denis;ILE DE FRANCE;48.866667;2.433333
2355;2018-04-16 14:00:00;PARIS;75004;Paris;ILE DE FRANCE;48.8560793;2.3455373
7560;2018-12-07 09:30:00;VILLEPINTE;93420;Seine-Saint-Denis;ILE DE FRANCE;48.966667;2.533333
1814;2018-03-21 14:00:00;MONTFERMEIL;93370;Seine-Saint-Denis;ILE DE FRANCE;48.9;2.566667
5292;2018-08-25 09:00:00;PARIS;75005;Paris;ILE DE FRANCE;48.8528229;2.3441836
5372;2018-08-30 09:00:00;NANTERRE;92000;Hauts-de-Seine;ILE DE FRANCE;48.9;2.2
7954;2018-12-21 17:00:00;CRETEIL;94000;Val-de-Marne;ILE DE FRANCE;48.783333;2.466667
3956;2018-06-28 09:00:00;PARIS;75006;Paris;ILE DE FRANCE;48.8534514;2.3421311
6942;2018-11-13 09:30:00;PARIS;75006;Paris;ILE DE FRANCE;48.8534514;2.3421311
3623;2018-06-15 16:30:00;LE BLANC MESNIL;93150;Seine-Saint-Denis;ILE DE FRANCE;48.933333;2.45
5772;2018-09-20 10:00:00;PARIS;75019;Paris;ILE DE FRANCE;48.8827146;2.3937752999999997
6090;2018-10-06 10:00:00;DRANCY;93700;Seine-Saint-Denis;ILE DE FRANCE;48.933333;2.45
6954;2018-11-13 15:00:00;PARIS;75002;Paris;ILE DE FRANCE;48.8653001;2.3513599999999997
2059;2018-04-03 14:00:00;NEUILLY PLAISANCE;93360;Seine-Saint-Denis;ILE DE FRANCE;48.866667;2.516667
2859;2018-05-12 10:00:00;CACHAN;94230;Val-de-Marne;ILE DE FRANCE;48.783333;2.333333
6088;2018-10-06 10:00:00;BOULOGNE BILLANCOURT;92100;Hauts-de-Seine;ILE DE FRANCE;48.833333;2.25
3156;2018-05-25 15:00:00;CRETEIL;94000;Val-de-Marne;ILE DE FRANCE;48.783333;2.466667
116;2018-01-08 10:30:00;CHATILLON;92320;Hauts-de-Seine;ILE DE FRANCE;48.8;2.283333
1329;2018-03-01 11:00:00;MALAKOFF;92240;Hauts-de-Seine;ILE DE FRANCE;48.816667;2.3
2271;2018-04-12 10:00:00;CLAMART;92140;Hauts-de-Seine;ILE DE FRANCE;48.8;2.266667
5148;2018-08-11 10:00:00;SEVRAN;93270;Seine-Saint-Denis;ILE DE FRANCE;48.933333;2.533333
1310;2018-02-28 12:00:00;CRETEIL;94000;Val-de-Marne;ILE DE FRANCE;48.783333;2.466667
117;2018-01-08 10:30:00;PARIS;75002;Paris;ILE DE FRANCE;48.8653001;2.3513599999999997
7070;2018-11-17 11:00:00;NEUILLY SUR SEINE;92200;Hauts-de-Seine;ILE DE FRANCE;48.883333;2.266667
7227;2018-11-24 11:00:00;PARIS;75003;Paris;ILE DE FRANCE;48.8626482;2.3602773999999997
163;2018-01-09 15:00:00;STAINS;93240;Seine-Saint-Denis;ILE DE FRANCE;48.95;2.383333
5931;2018-09-28 18:00:00;CHOISY LE ROI;94600;Val-de-Marne;ILE DE FRANCE;48.766667;2.416667
2803;2018-05-09 14:00:00;PANTIN;93500;Seine-Saint-Denis;ILE DE FRANCE;48.9;2.4
3057;2018-05-22 10:00:00;AUBERVILLIERS;93300;Seine-Saint-Denis;ILE DE FRANCE;48.916667;2.383333
2314;2018-04-13 15:00:00;AUBERVILLIERS;93300;Seine-Saint-Denis;ILE DE FRANCE;48.916667;2.383333
1918;2018-03-26 13:00:00;PARIS;75015;Paris;ILE DE FRANCE;48.8349275;2.2889766
7163;2018-11-21 14:30:00;LEVALLOIS PERRET;92300;Hauts-de-Seine;ILE DE FRANCE;48.9;2.283333
1;2017-10-18 14:15:00;BAGNEUX;92220;Hauts-de-Seine;ILE DE FRANCE;48.8;2.3
382;2018-01-17 14:00:00;PARIS;75017;Paris;ILE DE FRANCE;48.8848133;2.3028392999999996
4332;2018-07-10 10:00:00;PARIS;75020;Paris;ILE DE FRANCE;48.8571263;2.4092574
3804;2018-06-22 19:00:00;BOISSY ST LEGER;94470;Val-de-Marne;ILE DE FRANCE;48.75;2.516667
2563;2018-04-26 14:00:00;LE PLESSIS ROBINSON;92350;Hauts-de-Seine;ILE DE FRANCE;48.783333;2.266667
6642;2018-11-02 17:00:00;DRANCY;93700;Seine-Saint-Denis;ILE DE FRANCE;48.933333;2.45
7239;2018-11-24 15:00:00;VALENTON;94460;Val-de-Marne;ILE DE FRANCE;48.75;2.466667
